BANK,IFSC,BRANCH,ADDRESS,PHONE
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000224,BELPIMPALGAON,POST BELPIMPALGAON TAL NEWASA 413725,261208
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000225,CHANDEGAON,POST CHANDEGAON TAL RAHURI 413715,292030
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000226,GHOTAN,POST GHOTAN TAL SHEVGAON  414502,231201
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000227,CHAS NAGAR,POST CHAS NAGAR TAL NAGAR 414005,570014
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000228,KHADAKI,POST KHADAKI TAL NAGAR 414006,537178
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000230,LOHARE,POST LOHARE TAL SANGAMNERV 413736,246027
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000231,HANGEWADI,POST HANGEWADI TAL SANGAMNER 413738,272526
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000232,WANGDARI,POST WANGADARI TAL SHRIGONDA 413726,255605
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000233,PATHARDI BDK,POST PATHARDI BDK TAL RAHATA 413711,275929
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000234,AKOLA COLLAGE RD,POST AKOLA TAL AKOLA 422601,221587
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000235,JAMKHED TOWN,POST JAMKHED TAL JAMKHED,221217
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000237,SHAHAR TAKLI,POST SHAHAR TAKLI TAL SHEVGAON 414502,270235
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000239,NEWASA MKT YARD,POST NEWASA TAL NEWASA 414603,241154
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000240,BODHEGAON,POST BODHEGAON TAL SHEVGAON 414503,240320
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000241,NANNAJ DHUMALA,POST NANNAJ DHUMALA TAL SANGAMNER 422611,262178
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000242,VALAN,POST VALAN TAL RAHURI 414105,245313
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000243,KHIRVIRE,POST KHIRVIRE TAL AKOLA 422601,265032
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000244,VALAVANE,POST VALAVANE TAL PARNER 414302,213586
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000245,JAWALKE,POST JAWALKE TAL KOPERGAON 423605,247234
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000246,BITAKEWADI,POST BITAKEWADI TAL KARJAT 414402,241048
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000247,PAGORI PIMPALGAON,POSST PAGORI PIMPALGAON TAL PATHARDI 414102,271006
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000248,KUKANA TOWN,POST KUKANA TAL NEWASA 414604,221463
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000249,MALUNJE BDK,POST MALUNJE BDK TAL SHRIRAMPUR 413721,242426
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000250,PIMPRI NIRMAL,POST PIMPRI NIRMAL TAL RAHATA 423103,278140
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000251,CHIKANI,POST CHIKANI TAL SANGAMNER 422605,266038
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000252,KAMARGAON,POST KAMARGAON TAL NAGAR 414005,576058
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000254,CHAS AKOLA,POST CHAS AKOLA TAL AKOLA 422601,247022
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000255,HIVARGAON,POST HIVARGAON TAL AKOLA 414115,264091
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000256,MIDC NAGAR,POST MIDC NAGAR TAL NAGAR 414111,416524
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000257,SHEVGAON M YARD,POST SHEVGAON TAL SHEVGAON 414502,221545
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000258,TAMBHERE,POST TAMBHERE TAL RAHURI 413706,253202
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000259,PIMPALGAON ROTHA,POST PIMPALGAON ROTHA TAL PARNER 414303,281220
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000260,BHANGAON,POST BHANGAON TAL SHRIGONDA 413728,244417
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000261,AJNUJ,POST AJNUJ TAL SHRIGONDA 414701,236224
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000262,CHICHPUR PANGUL,POST CHICHAPUR PANGUL TAL PATHARDI,233006
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000263,MEHENDURI,POST MEHENDURI TAL AKOLA 422601,254083
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000264,KOHANE,POST KOHANR TAL AKOLA 422601,245009
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000266,DHAVALPURI,POST DHAVALPURI TAL PARNER 414103,2274204
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000267,KHADAKWADI,POST KHADAKWADI TAL PARNER 414303,284217
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000268,MANDAVE KHURD,POST MANDAVE KHURD TAL PARNER 414302,694042
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000269,DAHIGAON,POST DAHIGAON NAGAR TAL NAGAR 414006,605769
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000270,MEHEKARI,POST MEHEKARI TAL NAGAR 414002,610147
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000271,KHOSPURI,POST KHOSPURI TAL NAGAR 414501,790278
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000272,FAKIRWADA,POST FAKIRWADA NAGAR TAL NAGAR 414001,416525
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000273,MAHEGAON DESHMUKH,POST MAHEGAON DESHMUKHA TAL KOPERGAON 423603,262343
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000274,KOLPEWADI TOWN,POST KOLPEWADI TAL KOPERGAON 423602,262338
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000275,KHAMBE,POST KHAMBE TAL SANGAMNER 413706,322938
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000276,DERDE KORHALE,POST DERDE KORHALE TAL KOPERGAON,275348
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000277,Z P NAGAR,POST Z P AHMEDNAGAR TAL NAGAR 414001,416521
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000278,SHEDGAON,POST SHEDGAON TAL SANGAMNER 413738,294114
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000279,CHAHURANA BDK,POST CHAHURANA BDK AHMEDNAGAR TAL NAGAR 414001,416523
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000280,PATHARE KHURD,POST PATHARE KHURD TAL RAHURI 413721,292150
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000281,WADEGAVHAN,POST WADEGAVHAN TAL PARNER 414302,211254
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000282,MHASKEWADI,POST MHASKEWADI TAL PARNER 414302,250304
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000283,DEOGAON,POST DEOGAON TAL NEWASA 414604,228009
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000284,ARVINDA WARKHED,POST ARVINDA WARKHED TAL NEWASA 414603,227167
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000285,KOLHEWADI,POST KOLHEWADI TAL SANGAMNER 422607,261149
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000286,CHINCHPUR,POST CHINCHAPUR TAL SANGAMNER 414102,247156
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000287,RALEGAN THERPAL,POST RALWGAN THERPAL TAL PARNER 414306,214306
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000288,GOREGAON,POST GOREGAON TAL PARNER 414103,272359
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000289,PARNER TOWN,POST PARNER TAL PARNER 414302,221728
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000290,SHRIRAMPUR TOWN,POST SHRIRAMPUR TAL SHRIRAMPUR 413709,223338
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000292,BURHANNAGAR,POST BURHANNAGAR TAL NAGAR 414001,322292
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000293,KHUPATI,POST KHUPATI TAL NEWASA 414603,212223
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000294,FAKRABAD,POST FAKARABAD TAL JAMKHED 413205,234226
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000295,PIMPALGAON PISA,POST PIMPALGAON PISA TAL SHRIGONDA 413703,254999
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000296,NAUR,POST NAUR TAL SHRIRAMPUR 413707,243200
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000297,SAKUR PHATA PIMPALGAON DHEPA,POST SAKUR PHATA PIMPALGAON DHEPA TAL SANGAMNER 422622,202025
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000298,AMBALIKA SUGAR FACT,POST AMBALIKA FACT TAL KARJAT 414402,123456
AIRTEL PAYMENTS BANK LIMITED,AIRP0000001,AIRTEL PAYMENTS BRANCH,"AIRTEL CENTER, PLAT NO-16, UDYOG VIHAR, PHASE-4, GURGOAN",4222222
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000001,RTGS-HO,"393/B,MAIN ROAD,AJARA,TAL AJARA DIST KOLHAPUR",246122
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000002,UTTUR,"GARGOTI ROAD,UTTUR,TAL -AJARA",254127
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000003,GARGOTI,"KADGAON ROAD,TAL AJARA",220040
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000004,NESARI,"AJARA BANK BUILDING,BAZAR PETH",272126
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000005,DELIEL ROAD,"BUILDING NO.19,GALA NO.8/9/10,HARHARWALA BUILDING,N.M.JOSHI MARG",23087411
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000006,CHANDGAD,MAIN ROAD,224144
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000007,MALAKAPUR,BAZAR PETH,224123
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000008,KAPSHI,PARIT GALLI,255240
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000009,PRATIBHANAGAR,"E WARD,1330/A,12 K,OPP.SIDDHIVINAYAK MANGAL KARYALAY,PRATIBHANAGAR",2692748
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000010,RADHANAGARI,SHIVAJI ROAD,234019
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000011,KABNOOR,"ICHALKARANJI KOLHAPUR ROAD,TAL HATKANGALE",2438381
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000012,GADHINGLAJ,"KADGAON ROAD,TAL GADHINGLAJ",222394
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000013,BINDU CHOWK,"1076,B,NEAR DEVAL CLUB,BINDU CHOWK",2640685
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000014,TARALE,"BAZAR PETH,TAL RADHANAGARI",237166
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000015,SANGAV,"NEAR RAMMANDIR,MAIN ROAD,KASABA SANGAV,TAL KAGAL",234874
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000016,BORIVALI,"SHRI GANESH HSG SOC.PLOT NO 59,R WARD,GOARAI,MHADA WORLD BANK PROJECT,BORIVALI W MUMBAI",28696168
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000017,BAMBAVADE,"MAIN ROAD,TAL SHAHUWADI",234483
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000018,KARVE,"BELGAVI VENGURLA ROAD,TAL CHANDGAD",233123
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000019,MALAVAN,"SOMWAR PETH,TAL MALVAN",253387
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000020,THANE,"SHOP NO.9 AND 10,SUMER CASTLE MILL COMPOUND,LBS MARG",25475262
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000021,KOPARKHAIRNE,"BHOMIRAJ CASABELA CHS SHOP NO.7/8,PLOT NO.B/219,SECTOR 19,NEAR THREE TALKIES,NAVI MUMBAI",27548371
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000022,DOMBIVALI,"VYANKATESH CHHAYA CO.OP.HSG LTD,SHOP NO.5,RAMNAGAR,DR.RAJENDRA PRASAD ROAD,DOMBIVALI",2860248
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000023,CHINCHWAD,"D.G.COMPLEX,SHOP NO.15 / 16",27492622
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000024,RANKALA,"C.S.NO.3131A,A WARD BABUJAMAL DARGA ROAD,KOLHAPUR.PIN -416012",2540140
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000025,GOKUL SHIRGAON,"GOKUL SHIRGAON MANUFACTURING ASSOCIATION,NEW BUILDING,PLOT NO.P-40,GROUND FLOOR,MIDC,GOKUL SHIRGAON,TAL KARVEER",2671067
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000026,KARAD,"PLOT NO 81,BHUMI TOWERS,CS NO.111,B NEAR PRABHAT TALKIES,BUDHAWAR PETH,KASABE KARAD TAL KARAD",222055
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000027,MUDHAL TITTA,"KOLHAPUR ROAD,TAL BHUDARGAD",254142
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000028,DHANKAWADI,"SURVERY NO.28/29,SUNDAR BAG APPARTMENT,NEAR REGISTAR OFFICE NO.9,CHAITANYA NAGAR,DHANKAWADI",28368008
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000029,KADAGAON,"MILKAT NO.610,CSN NO.216,PATGAON ROAD KADGAON,TAL-BHUDARGAD",233040
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000030,BELGAVI,"WARD NO.7,729/A,KUNAL BUILDING,ANGOL,MAIN ROAD,BELGAVI TAL.BELGAVI",4263108
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000031,HALIYAL,"HALLIKERI BUILDING,MAIN ROAD,HALLIKERI CHOWK,TAL HALIYAL",221800
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000032,NIPPANI,"11/4,503/12,ASHOK NAGAR,NEAR KITTUR CHANNAMA CIRCLE",222040
The Ajara Urban Co op Bank Ltd Ajara,AJAR0000099,AJARA,"393/B,MAIN ROAD,AJARA,TAL AJARA DIST KOLHAPUR",246019
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0000001,RTGS-HO,"42,LOKMANYA TILAK PATH,AMBARNATH ( W),DIST.THANE -421501",2681816
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001002,MAIN BRANCH,"44,PURVADARSHAN,LOKMANYA TILAK PATH,AMBARNATH ( W),DIST.THANE -421501",2674371
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001003,SHIVAJI NAGAR,"SHIV SUNDARAM CO-OP SOCIETY,VADAVLI SECTION,AMBARNATH ( E),DIST.THANE -421501",2603929
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001004,KULGAON BADLAPUR,EHKO.DIYSIKGD(W),2676988
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001005,WIMCO NAKA BRANCH,"PLOT NO.1,JAIHINDBANK BLDG,OPP.WIMCO NAKA GROUND",2683344
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001006,KALYAN BRANCH,SAKET TOWER JIMMI BAUG,2350044
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001007,"MANPADA, DOMBIVALI BRANCH","MAULI APT,1ST FLOOR,MANPADA RD,OPP.GAVDEVI MANDIR",2426688
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001008,NAVRE NAGAR BRANCH,"CLASSIC ARCADE,1ST FLOOR",2685377
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001009,"AMBARNATH EAST, BRANCH","PLOT.NO.31,SURYODAY CO-OP HOUSING SOC",2609749
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001010,THANE BRANCH,"G-2,PLOT NO.C-2,YASHODHAN NAGAR,NEAR YASHODHAN NAGAR TELEPHONE EXE",25813882
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001011,KALYAN CHINCHPADA BRANCH,"BLDG.NO.1,A WING,SAKET HARMONY,NEAR SAKET COLLEGE,100 FT.ROAD",2252895
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001012,VANGANI BRANCH,"SHOP NO.5,R PLAZA,OPP.RAILWAY STATION,VANGANI -WEST",2660111
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001013,"KATRAP, BADLAPUR BRANCH","PANVELKAR OPTIMA,SHOP NO.7,8,9,GR.FLOOR,KATRAP",2693335
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001014,PUNE ERANDAWANE BRANCH,"SHOP NO.2,GODSE BHAVAN,GULAWANI MAHARAJ ROAD,NEAR MEHENDALE GARAGE",25466060
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001015,VASIND BRANCH,"SHOP NO 3,HOUSE NO 15/2,THE KHATIWALI -VASIND SEVA SOCITEY LTD,AT POST VASIND",222922
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001016,DHANKAWADI PUNE,"SHOP NO.1-2,PUNAYI NAGAR,OPP.K.K.MARKET,DHANKWDI,PUNE-411043",24362210
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001017,PISAVALI,"SHOP NO.1-2,GR.FLR,DARSHAN APPT,HAJI MALANG ROAD,PISAVALI,KALYAN EAST DIST THANE-421306",7900142255
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001018,NERAL BRANCH,"SHOP NO.4 TO 7,ASHIRWAD BUILDING,MATHERAN ROAD,LOKMANYA TILAK CHOWK,NERAL,TALUKA KARJAT DIST-410101",238788
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001099,KOHOJGAON BRANCH,SHOP.NO.3 4 5 6 SINGH PARADISE HIMALAYA BUILDING KOHOJGAON,2684370
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000001,RTGS-HO,"JANVAIBHAV,OLD COTTON MARKET,AKOLA,PIN 444001",2430012
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000002,MALEGAON,"JANVAIBHAV, MAIN ROAD, MALEGAON PIN 444 503",271252
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000003,RISOD,"JANVAIBHAV, MAIN ROAD, CIVIL LINE, RISOD PIN 4440506",222367
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000004,WASHIM,"JANVAIBHAV,RISOD NAKA, WASHIM PIN 444 505",232190
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000005,MANGRULPIR,"JANVAIBHAV, MAIN ROAD, MANGRULPIR PIN 444 403",260369
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000006,KARANJA,"JANVAIBHAV, SHASIKANT TALKIES ROAD, KARANJA PIN 444 105",222194
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000007,TELHARA,"MAIN ROAD, TELHARA PIN 444 108",231595
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000008,TAJNAPETH,"SUBHASH ROAD, TAJNAPETH, AKOLA PIN 444 001",2436155
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000009,TAPADIA NAGAR,"TATYASAHEB OKE MARG, JATHARPETH CHOWK, AKOLA PIN 444 005",2490714
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000010,GORAKSHAN ROAD,"PRABHU PLAZA, NEAR POWER HOUSE, GORAKSHAN ROAD, AKOLA PIN 444 004",2458851
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000011,MURTIZAPUR,"HARIYA NAGAR,MAIN ROAD,MURTIZAPUR PIN 444107",243205
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000012,AKOT,"AKOLA ROAD,SHIVAJI CHOWK,AKOT PIN 444101",222445
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000013,SHIRPUR,"OMKAR NAGRI,WARD NO.3,BEHIND BUS STAND,SHIRPUR PIN 444 504",274018
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000014,MANORA,"MAIN ROAD,MANORA PIN 444 404",263330
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000015,AMRAVATI,"DEVHARI COMPLEX,NEAR VASANT TALKIES,JAISTAMBH CHOWK,AMRAVATI PIN 444 601",2576761
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000016,KHAMGAON,"JANVAIBHAV,SHRIRAM CHOWK,PHARSHI ROAD,INFRONT OF SAHELE COMPLEX,KHAMGAON PIN 444 303",254592
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000017,OLD CITY,"NEAR CHHAYA HOSPITAL,DABKI ROAD,OLD CITY,AKOLA PIN 444 001",2440424
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000018,JALGAON,"91,NAVIPETH,NEAR L.I.C. OFFICE,JALGAON PIN 425 001",2220736
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000019,YAVATMAL,"DATTA CHOWK,YAVATMAL PIN 445 001",246670
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000020,NAGPUR,"SERVODAYA CLOTH MARKET,GANDHI BAUG,NAGPUR PIN 440 002",2772314
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000021,DIGRAS,"NETAJI CHOWK,MAIN ROAD,DIGRAS PIN 445 203",222584
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000022,MALKAPUR ROAD,"MAYUR COLONY,NEAR OCTRIO NAKA,MALKAPUR ROAD,AKOLA PIN 444 004",2458175
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000023,AKOT ROAD,"JANVAIBHAV,NEAR HOMEOPATHIC COLLEGE,AKOT ROAD,AKOLA PIN 444 003",2442484
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000024,MALKAPUR,"JANVAIBHAV,BHANSALI COMPLEX,BULDHANA ROAD,MALKAPUR PIN 443 101",223758
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000025,PARBHANI,"KACHHI BAZAR,PARBHANI PIN 431 401",225010
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000026,NANDED,"GURUKRUPA MARKET,MAHAVIR CHOWK,VAZIRABAD,NANDED PIN 431 601",230259
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000027,KALBADEVI,"205,207,209 NARAYAN BANSILAL BLD.,KALBADEVI RD,IN FRONT OF JAIN MANDIR,KALBADEVI,MUMBAI PIN 400 002",22400251
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000028,PARATWADA,"DURANI CHOWK,PARATWADA PIN 444 805",220192
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000029,CHANDUR RLY,"GANDHI CHOWK,MAIN ROAD,CHANDUR RAILWAY PIN 444 904",254176
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000030,AURANGABAD,"AAKASHWANI CHOWK,JALNA ROAD,AURANGABAD PIN 431 001",2325141
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000031,PUSAD,"THAKUR MARKET,MAIN ROAD,PUSAD PIN 445 204",248812
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000032,BURHANPUR,"PARINISHA,SHANWARA GATE,BURHANPUR M.P. PIN 450 331",257901
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000033,INDORE,"CHETAK CENTRE,R.N.T.MARG,INDORE M.P.PIN 452 001",2526287
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000035,NASIK,"SURVEY NO.718,1A,2B,3 PLOT NO.469,CANADA CORNER,NASIK PIN 422 005",2310481
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000036,SHELU BAZAR,LAXMICHAND VIDYALAY SHELU BAZAR PIN 444402,264769
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000037,SINDHI CAMP,GURUNANAK VIDYALAY SINDHI CAMP PIN 444004,2442598
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000038,VASHI,"SHIVAJI MARKET 2, GROUND FLOOR, SHOP NO 10,11,29,30, PLOT NO 8 9 , CROMA ROAD, SECTOR 19D, INFORNT OF APMC DANA MARKET, VASHI",2227831446
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000039,LONAR,LONI ROAD PLOT NO4 SURVEY NO 168/4 LONAR 443302,221288
